"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","Создание курьера: нельзя создать двух одинаковых курьеров, возвращается 409","tests","2026-04-07","passed","2026-04-07","TestCreateCourier","test_create_courier","",""
"","173","Логин курьера: неправильный логин или пароль возвращает 404","tests","2026-04-07","passed","2026-04-07","TestLoginCourier","test_login_courier","",""
"","197","Создание заказа: с разными вариантами цветов возвращает 201 и track","tests","2026-04-07","passed","2026-04-07","TestCreateOrder","test_create_order","",""
"","178","Удаление курьера: успешное удаление возвращает 200 и ok true","tests","2026-04-07","passed","2026-04-07","TestExtraTasks","test_extra_tasks","",""
"","55","Удаление курьера: без id возвращает 404","tests","2026-04-07","passed","2026-04-07","TestExtraTasks","test_extra_tasks","",""
"","69","Создание курьера: при отсутствии обязательного поля возвращается 400","tests","2026-04-07","passed","2026-04-07","TestCreateCourier","test_create_courier","",""
"","231","Получение заказа по треку: успешный запрос возвращает 200 и объект заказа","tests","2026-04-07","passed","2026-04-07","TestExtraTasks","test_extra_tasks","",""
"","54","Создание курьера: при отсутствии обязательного поля возвращается 400","tests","2026-04-07","passed","2026-04-07","TestCreateCourier","test_create_courier","",""
"","83","Логин курьера: неправильный логин или пароль возвращает 404","tests","2026-04-07","passed","2026-04-07","TestLoginCourier","test_login_courier","",""
"","11024","Получение списка заказов: возвращается 200 и список заказов","tests","2026-04-07","passed","2026-04-07","TestOrdersList","test_orders_list","",""
"","60052","Логин курьера: отсутствие обязательного поля возвращает 400","tests","2026-04-07","failed","2026-04-07","TestLoginCourier","test_login_courier","",""
"","71","Логин курьера: несуществующий пользователь возвращает 404","tests","2026-04-07","passed","2026-04-07","TestLoginCourier","test_login_courier","",""
"","1077","Логин курьера: успешная авторизация возвращает 200 и id","tests","2026-04-07","passed","2026-04-07","TestLoginCourier","test_login_courier","",""
"","45","Логин курьера: отсутствие обязательного поля возвращает 400","tests","2026-04-07","passed","2026-04-07","TestLoginCourier","test_login_courier","",""
"","78","Создание курьера: можно создать курьера без firstName, возвращается 201","tests","2026-04-07","passed","2026-04-07","TestCreateCourier","test_create_courier","",""
"","95","Создание заказа: с разными вариантами цветов возвращает 201 и track","tests","2026-04-07","passed","2026-04-07","TestCreateOrder","test_create_order","",""
"","101","Создание заказа: без указания цвета возвращает 201 и track","tests","2026-04-07","passed","2026-04-07","TestCreateOrder","test_create_order","",""
"","429","Принятие заказа: успешное принятие возвращает 200 и ok true","tests","2026-04-07","passed","2026-04-07","TestExtraTasks","test_extra_tasks","",""
"","94","Создание заказа: с разными вариантами цветов возвращает 201 и track","tests","2026-04-07","passed","2026-04-07","TestCreateOrder","test_create_order","",""
"","374","Создание заказа: с разными вариантами цветов возвращает 201 и track","tests","2026-04-07","passed","2026-04-07","TestCreateOrder","test_create_order","",""
"","217","Создание курьера: успешный запрос возвращает 201 и ok true","tests","2026-04-07","passed","2026-04-07","TestCreateCourier","test_create_courier","",""
